_id,OBJECTID,CartID,BikeFacilityType,MSAG_Name,ProjectName,Jurisdiction,District,Length,MaintenanceResponsibility,Status,FacilityName,Comments,Shape__Length
363,363,BF_313000694,Bike Lane,MACARTHUR VW,Unknown,San Antonio,10,144.70798929,COSA - Public Works Dept,Active,Macarthur Vw from Broadway to Nacogdoches Rd,None,144.707989296484
364,364,BF_313003038,Bike Lane,S FLORES ST,Unknown,San Antonio,5,279.69788533,COSA - Public Works Dept,Inactive,S Flores St from E Malone_W Malone Ave to SE Military Dr_TO BE REMOVED,None,279.697885331239
365,365,BF_313004027,To Be Determined,CAPITOL,Unknown,San Antonio,1,350.31989845,COSA - Public Works Dept,Staff Recommended for IMP 2019 to 2023,TBD,None,350.31989845037
366,366,BF_313004262,Multi Use Path,MISSION RD,Unknown,San Antonio,5,722.49615698,TBD,TBD,TBD,None,722.49615697712
367,367,BF_313003259,Route,N FLORES ST,Unknown,San Antonio,1,351.25715998,COSA - Public Works Dept,Active,N Flores St from W Ashby Place to Fulton Ave,None,351.257159976185
368,368,BF_313000097,Route,LES HARRISON DR,Unknown,San Antonio,6,272.90011755,COSA - Public Works Dept,Active,Les Harrison Dr_Weybridge from Culebra Rd to Dover Rdg,None,272.900117550214
369,369,BF_313002546,Bike Lane,SONOMA PKWY,Unknown,San Antonio,8,1207.68699329,COSA - Public Works Dept,Active,Sonoma Pkwy from FM 1560 N to Tulorosa Trl,None,1207.68699329779
370,370,BF_313000830,Buffered Lane,CINCINNATI AVE,Unknown,San Antonio,1,697.80306416,COSA - Public Works Dept,Active,S Josephine Tobin Dr_Cincinnati Ave west of Adaes Ave to S Josephine Tobin Dr_Alexander Ave_Cincinnati Ave,None,697.80306416677
371,371,BF_313000796,Bike Lane,S ALAMO ST,40-00337 S Alamo St Pereida to E Cesar Chavez,San Antonio,1,305.24091067,COSA - Public Works Dept,Active,S Alamo St from Pereida St to E Cesar Chavez Blvd,None,305.240910665542
372,372,BF_313001820,Bike Lane,GILLETTE BLVD,Unknown,San Antonio,4,683.17525107,COSA - Public Works Dept,Active,Gillette Blvd from S Zarzamora St to Poteet Jourdanton Fwy (AKA: Hwy 16),None,683.175251077053
373,373,BF_313000383,Bike Lane,RICHLAND HILLS DR,Unknown,San Antonio,6,579.46926327,COSA - Public Works Dept,Active,Richland Hills Dr from SW Loop 410 to Foxgrove Way,None,579.469263277183
374,374,BF_313003400,Route,CURTIS ST,Unknown,San Antonio,3,535.50277271,COSA - Public Works Dept,Active,Curtis St from E Southcross Blvd to E Harding Blvd,None,535.50277271885
375,375,BF_313000869,Bike Lane,TEZEL RD,Unknown,San Antonio,6,798.3110503,COSA - Public Works Dept,Active,Tezel Rd from Timber Path to Old Tezel Rd,None,798.311050307917
376,376,BF_313000118,Buffered Lane,ROWE DR,Unknown,San Antonio,10,379.43395633,COSA - Public Works Dept,Active,Rowe Dr from Cadbury to S of Sackville Dr,None,379.433956331327
377,377,BF_313002319,Bike Lane,DWYER AVE,Unknown,San Antonio,1,169.67898008,COSA - Public Works Dept,Active,Dwyer Ave from E Cesar Chavez Blvd to E Nueva St,None,169.678980084613
378,378,BF_313004298,Bike Lane,CULEBRA RD,Unknown,San Antonio,6,544.65411945,COSA - Public Works Dept,Active,Culebra Rd from Grissom Rd to NW Loop 410,None,544.654119450703
